Zeit:;SDP1_01_330SY_RPM.Current_Value;SDP1_08_111TT.PV;SDP1_01_340TT.PV;SDP1_01_346PT.PV;SDP1_01_310SY_RPM.Current_Value;SDP1_01_326PT.PV;SDP1_01_370SY_RPM.Current_Value;SDP1_01_386PT.PV;SDP1_01_340TIC.SP;SDP1_56_665FT.PV;SDP1_56_461DT.PV;SDP1_56_361DT.PV;SDP1_02_230SY.PV;SDP1_08_110TT.PV;SDP1_56_565FT.PV
04.12.2021 19:25:02.420;;;;;;;;;;;;;;;5288,73
04.12.2021 19:25:02.467;;;;;;247;;;;;;;;;
04.12.2021 19:25:03.670;;;;245;;;;;;;;;;;
04.12.2021 19:25:06.107;;;94,0;;;;;;;;;;;;
04.12.2021 19:25:07.857;;;;;;;;;90,00;;;;;;
04.12.2021 19:25:24.685;;;;;;;32,0;;;;;;;;
04.12.2021 19:25:24.951;32;;;;32,0;;;;;;;;;;
04.12.2021 19:25:42.654;;;;;;;;;;;;;;77;
04.12.2021 19:25:43.451;;;;;;9;;;;;;;;;
04.12.2021 19:25:43.685;;;;;;;;93;;;;;;;
04.12.2021 19:25:52.685;;;;95;;;;;;;;;;;
04.12.2021 19:26:04.123;;74,9;;;;;;;;;;;;;
04.12.2021 19:26:41.607;;;93,2;;;;;;;;;;;;
04.12.2021 19:28:12.251;;;;;;;;266;;;;;;;
04.12.2021 19:28:12.969;;;;;;267;;;;;;;;;
04.12.2021 19:28:13.688;;;;267;;;;;;;;;;;
04.12.2021 19:28:15.719;;;;;;;;;;;1,1832;0,9958;;;
04.12.2021 19:28:38.611;;;104,0;;;;;;;;;;;;
04.12.2021 19:29:02.627;;77,8;;;;;;;;;;;;;
04.12.2021 19:29:03.455;48;;;;;;;;;;;;;;
04.12.2021 19:29:03.611;;;103,3;;;;;;;;;;;;
04.12.2021 19:29:03.689;;;;;;;47,7;;;;;;;;
04.12.2021 19:29:03.955;;;;;47,7;;;;;;;;;;
04.12.2021 19:29:05.439;;;;;;;;;;;;;;;8172,48
04.12.2021 19:29:05.470;;;;;;213;;;;;;;;;
04.12.2021 19:29:05.689;;;;217;;;;216;;;;;;;
04.12.2021 19:29:06.142;;;;;;;;;;;;;;81;
04.12.2021 19:29:06.423;;;;;;;;;;;;;;;8182,93
04.12.2021 19:29:06.455;;;;;;212;;;;;;;;;
04.12.2021 19:29:06.705;;;;217;;;;216;;;;;;;
04.12.2021 19:29:07.095;;;103,1;;;;;;;;;;;;
04.12.2021 19:29:07.142;;77,9;;;;;;;;;;;;;
04.12.2021 19:29:08.720;;;;;;;47,9;;;;;;;;
04.12.2021 19:29:09.455;48;;;;48,0;;;;;;;;;;
04.12.2021 19:29:09.642;;;;;;;;;;;;;;81;
04.12.2021 19:30:08.158;;79,2;;;;;;;;;;;;;
04.12.2021 19:30:37.956;;;;;;;;;;;;;;83;
